candle_end_time,open,high,low,close,amount,volume,index_code
2022-04-29,1000.0,1000.0,1000.0,1000.0,581906406.0,455215.5,bj899050
2022-05-05,1000.5845,1036.8604,993.9279,1031.3151,589623495.0,498768.43,bj899050
2022-05-06,1013.3504,1033.0488,1001.6107,1024.5652,424542556.0,345125.13,bj899050
2022-05-09,1023.0592,1048.2554,1020.5905,1044.8455,449719574.0,340560.57,bj899050
2022-05-10,1032.5149,1061.822,1030.1102,1061.822,410927801.0,308056.9,bj899050
2022-05-11,1061.1787,1096.9248,1061.1787,1081.4286,639970020.0,480864.6,bj899050
2022-05-12,1077.3178,1086.5913,1062.1111,1071.2906,380371304.0,310175.61,bj899050
2022-05-13,1070.173,1116.4006,1070.173,1115.0963,771403794.0,850265.3,bj899050
2022-05-16,1123.8601,1136.3149,1122.4914,1128.5571,657680744.0,625960.63,bj899050
2022-05-17,1130.802,1137.3957,1124.2119,1136.4913,634386994.0,541064.43,bj899050
2022-05-18,1130.7988,1136.0939,1125.0811,1125.8335,564558811.0,490754.76,bj899050
2022-05-19,1115.4659,1131.7598,1107.7339,1129.6178,469462696.0,442628.96,bj899050
2022-05-20,1124.387,1138.7854,1124.387,1136.1442,365277575.0,326828.97,bj899050
2022-05-23,1135.6402,1141.554,1129.8303,1132.842,306557682.0,302606.95,bj899050
2022-05-24,1129.8375,1133.4832,1080.9011,1085.79,605825512.0,530699.2,bj899050
2022-05-25,1083.3904,1087.9969,1074.6429,1081.4525,349859427.0,313378.61,bj899050
2022-05-26,1081.52,1084.6299,1065.118,1079.1475,270729723.0,250809.23,bj899050
2022-05-27,1076.1823,1088.2566,1072.5895,1078.0519,310141880.0,294699.41,bj899050
2022-05-30,1078.062,1090.0162,1078.062,1085.5881,351537039.0,324778.1,bj899050
2022-05-31,1083.8965,1095.0324,1083.6834,1094.2912,337340510.0,275148.44,bj899050
2022-06-01,1094.5363,1100.8414,1092.498,1097.8629,323242684.0,332701.8,bj899050
2022-06-02,1094.4947,1113.1064,1093.7357,1113.1064,560031572.0,553928.89,bj899050
2022-06-06,1114.5506,1145.0095,1114.5506,1142.8396,663412103.0,631557.65,bj899050
2022-06-07,1138.2394,1152.3818,1135.6988,1141.2386,526343056.0,468054.76,bj899050
2022-06-08,1136.9344,1147.3673,1124.967,1138.2725,483849994.0,436253.41,bj899050
2022-06-09,1135.4992,1139.8539,1124.6094,1127.3983,533502892.0,688316.95,bj899050
2022-06-10,1123.1236,1131.953,1115.5977,1131.4345,428418560.0,565691.35,bj899050
2022-06-13,1124.6346,1127.6854,1115.7493,1120.3353,351205062.0,371917.8,bj899050
2022-06-14,1114.6263,1114.9796,1096.0243,1113.4729,490056196.0,510365.36,bj899050
2022-06-15,1110.443,1120.8633,1110.443,1112.6815,416151593.0,441982.97,bj899050
2022-06-16,1109.1144,1118.1386,1107.5283,1112.3163,395242270.0,397155.72,bj899050
2022-06-17,1107.9258,1119.4568,1105.1349,1118.7219,522416991.0,449114.48,bj899050
2022-06-20,1119.0019,1137.2178,1119.0019,1135.9534,564714876.0,493865.27,bj899050
2022-06-21,1134.0983,1136.1174,1121.756,1126.4223,374675044.0,346167.63,bj899050
2022-06-22,1122.878,1133.6909,1118.6157,1122.4616,304816363.0,291268.91,bj899050
2022-06-23,1118.5085,1134.3888,1118.5085,1134.3888,386152407.0,336521.7,bj899050
2022-06-24,1134.1085,1146.6394,1133.7081,1146.6394,497242875.0,396927.9,bj899050
2022-06-27,1149.3777,1167.9914,1149.3777,1167.9914,626236469.0,504844.54,bj899050
2022-06-28,1167.8176,1197.8353,1162.232,1195.9446,1050504999.0,1126505.11,bj899050
2022-06-29,1188.1377,1194.4946,1165.3563,1167.0717,792311116.0,820110.04,bj899050
2022-06-30,1165.3383,1174.3297,1164.773,1167.1165,566234911.0,530111.69,bj899050
2022-07-01,1165.7109,1173.3237,1156.9307,1160.9696,352672069.0,360118.61,bj899050
2022-07-04,1157.6037,1159.8402,1140.5946,1149.2006,415143621.0,328660.95,bj899050
2022-07-05,1145.4934,1152.2129,1132.5414,1141.194,450972996.0,382166.09,bj899050
2022-07-06,1137.3887,1140.8937,1123.1547,1129.8151,351524971.0,323777.57,bj899050
2022-07-07,1127.9039,1134.3639,1119.6382,1130.2612,282470762.0,238171.18,bj899050
2022-07-08,1128.2541,1138.1413,1125.1362,1131.5167,305393912.0,233587.21,bj899050
2022-07-11,1128.6559,1132.48,1110.7085,1113.6791,341338360.0,287728.21,bj899050
2022-07-12,1110.8192,1116.0603,1099.5749,1102.5598,351471003.0,395640.7,bj899050
2022-07-13,1099.0598,1106.6177,1096.0172,1102.418,318580296.0,347003.9,bj899050
2022-07-14,1096.1936,1105.2149,1094.3295,1103.7198,344204285.0,310380.58,bj899050
2022-07-15,1106.7687,1109.3056,1086.7952,1089.177,344621752.0,320239.65,bj899050
2022-07-18,1085.9361,1088.7913,1078.2798,1088.7913,528021755.0,324162.81,bj899050
2022-07-19,1085.2557,1093.0596,1083.6226,1089.9186,451664304.0,325998.71,bj899050
2022-07-20,1087.4546,1095.8303,1087.4546,1093.8586,476231465.0,370896.87,bj899050
2022-07-21,1086.0253,1089.5702,1082.3824,1085.1805,571819718.0,304302.93,bj899050
2022-07-22,1080.4145,1087.8833,1075.6562,1078.7218,473326117.0,363409.94,bj899050
2022-07-25,1079.1213,1081.1843,1064.5615,1066.4249,354457205.0,275726.24,bj899050
2022-07-26,1067.0269,1082.8743,1061.703,1082.8743,638109145.0,599780.0,bj899050
2022-07-27,1085.2707,1085.2707,1076.7956,1080.7792,826654649.0,912156.11,bj899050
2022-07-28,1081.9557,1083.914,1068.1562,1073.0863,591840134.0,599178.97,bj899050
2022-07-29,1072.3969,1075.4714,1060.9759,1061.1106,476715008.0,436304.16,bj899050
2022-08-01,1060.087,1062.8905,1053.1517,1058.1716,433404714.0,369649.84,bj899050
2022-08-02,1053.1753,1053.1753,1011.5091,1020.9544,663419820.0,630269.03,bj899050
