candle_end_time,open,high,low,close,amount,volume,index_code
2019-12-31,1000.0,1000.0,1000.0,1000.0,4320077520.0,1020901.16,sh000688
2020-01-02,1005.6174,1019.9098,1005.6174,1019.7234,6628098273.0,1659069.87,sh000688
2020-01-03,1021.6693,1029.0713,1018.6813,1024.4819,7215680285.0,1661490.31,sh000688
2020-01-06,1019.9989,1040.1404,1019.9989,1027.2773,7785230597.0,1843350.92,sh000688
2020-01-07,1025.6627,1043.0833,1019.8577,1043.0833,7824109737.0,1874966.02,sh000688
2020-01-08,1035.8362,1059.4361,1034.5129,1051.1599,9283811058.0,2379123.51,sh000688
2020-01-09,1060.5802,1081.4038,1060.5802,1078.3117,9047930508.0,2113303.02,sh000688
2020-01-10,1082.3097,1088.5431,1076.4379,1076.4379,7787337318.0,1903194.03,sh000688
2020-01-13,1076.7616,1105.8481,1069.7789,1105.8481,8449429728.0,1859663.16,sh000688
2020-01-14,1107.7757,1133.8986,1107.7757,1118.3063,11060374843.0,2453502.28,sh000688
2020-01-15,1113.2521,1120.3455,1105.5754,1114.7655,8265923477.0,1799323.86,sh000688
2020-01-16,1116.5084,1161.4769,1116.5084,1154.3028,11388100106.0,2243416.7,sh000688
2020-01-17,1159.372,1252.5561,1159.372,1238.6638,18725517414.0,4408889.69,sh000688
2020-01-20,1239.4391,1270.3586,1208.6903,1240.5094,17376827193.0,3681522.83,sh000688
2020-01-21,1233.6459,1247.8409,1194.7968,1195.0142,12983279924.0,2747565.49,sh000688
2020-01-22,1178.7835,1247.6097,1157.2903,1244.5246,15527910989.0,3421028.13,sh000688
2020-01-23,1219.2328,1262.4357,1177.0936,1202.1022,13936206912.0,2735159.4,sh000688
2020-02-03,1018.276,1082.7892,1015.5965,1030.5503,13831764690.0,3860472.6,sh000688
2020-02-04,1049.9556,1153.2316,1049.9556,1153.2316,14520888769.0,3479659.65,sh000688
2020-02-05,1166.9733,1240.3675,1166.9733,1203.6128,18401592181.0,3920359.99,sh000688
2020-02-06,1191.7314,1251.8427,1191.7314,1238.7573,16491387785.0,3684341.13,sh000688
2020-02-07,1240.0377,1307.7568,1234.2337,1307.7568,19219459164.0,3745513.41,sh000688
2020-02-10,1310.5262,1336.5258,1293.4299,1322.2502,19523425341.0,4394873.78,sh000688
2020-02-11,1318.4202,1318.4202,1266.2142,1283.5724,15492726272.0,3304646.13,sh000688
2020-02-12,1274.7963,1360.549,1274.7963,1348.7019,15957362758.0,3113607.71,sh000688
2020-02-13,1360.1289,1409.6835,1353.0449,1360.7094,19990465208.0,3998880.22,sh000688
2020-02-14,1359.3728,1382.9554,1305.9737,1327.224,18395886981.0,3537072.54,sh000688
2020-02-17,1332.9652,1381.5532,1332.9652,1381.5532,16481541066.0,3279010.95,sh000688
2020-02-18,1381.583,1404.7123,1372.5255,1399.3841,17009185518.0,3235240.83,sh000688
2020-02-19,1398.7812,1412.1691,1373.4439,1373.4439,17051637962.0,3209051.08,sh000688
2020-02-20,1377.7562,1390.0194,1321.7335,1348.3377,15484251646.0,2829190.53,sh000688
2020-02-21,1337.5566,1373.6669,1337.5566,1346.8628,13208498513.0,2419279.63,sh000688
2020-02-24,1341.9878,1359.2267,1328.7467,1351.7098,13148865966.0,2511362.26,sh000688
