candle_end_time,open,high,low,close,amount,volume,index_code
2010-05-31,1000.0,1000.0,1000.0,1000.0,6167966670.97,1635439.95,sz399006
2010-06-01,986.0156,994.7931,948.1186,973.2333,5780310190.28,1583073.22,sz399006
2010-06-02,967.6097,997.1196,952.6116,997.1196,4455081541.53,1202131.11,sz399006
2010-06-03,1002.3552,1026.7024,997.7751,998.3949,6635856830.92,1729802.35,sz399006
2010-06-04,989.6815,1027.6817,986.5043,1027.6817,5512249341.58,1571654.97,sz399006
2010-06-07,1005.0287,1075.2254,1001.7028,1069.4686,9500139147.06,2769355.32,sz399006
2010-06-08,1067.3247,1075.5031,1050.9651,1067.1549,6929747915.15,2062969.3,sz399006
2010-06-09,1070.8521,1102.098,1069.4314,1077.8233,8994866395.71,2541568.09,sz399006
2010-06-10,1077.6751,1119.106,1076.2812,1117.4781,8242731100.19,2197404.71,sz399006
2010-06-11,1122.4439,1128.2289,1118.7067,1122.1995,8449039155.87,2224874.19,sz399006
2010-06-17,1126.1306,1129.685,1064.8398,1064.8398,6757409316.43,1764283.56,sz399006
2010-06-18,1052.0675,1053.1389,993.1747,1000.2774,5827721367.28,1630650.95,sz399006
2010-06-21,991.9573,1043.1562,976.414,1040.8028,5604269447.33,1574797.64,sz399006
2010-06-22,1037.039,1057.3659,1033.6472,1034.9956,5067480291.85,1427162.06,sz399006
2010-06-23,1026.865,1056.3484,1023.7373,1047.3378,4608672511.83,1257359.43,sz399006
2010-06-24,1046.7595,1059.7546,1041.5396,1050.6019,3904947868.9,1069132.94,sz399006
2010-06-25,1046.2121,1046.2121,999.1636,1016.2835,6118334768.67,1781242.12,sz399006
2010-06-28,1009.2234,1014.4136,984.2165,987.8274,4166415863.07,1180048.45,sz399006
2010-06-29,985.5725,992.2276,912.54,913.3092,5950152588.21,1742055.77,sz399006
2010-06-30,898.2917,921.8104,881.3604,919.3148,4322012588.28,1408707.09,sz399006
