数据由邢不行整理，对数据字段有疑问的，可以直接微信私信邢不行，微信号：xbx297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,净利润TTM,现金流TTM,净资产,总资产,总负债,净利润(当季),中户资金买入额,中户资金卖出额,大户资金买入额,大户资金卖出额,散户资金买入额,散户资金卖出额,机构资金买入额,机构资金卖出额,沪深300成分股,上证50成分股,中证500成分股,中证1000成分股,中证2000成分股,创业板指成分股,新版申万一级行业名称,新版申万二级行业名称,新版申万三级行业名称,09:35收盘价,09:45收盘价,09:55收盘价
bj920000,安徽凤凰,2021-11-15,11.5,13.9,11.11,11.82,10.9,6416715.0,77735428.0,401337284.70000017,1107404748.3,,,479137104.69000006,623642403.33,144505298.64,9880754.22,,,,,,,,,,,,,,,汽车,汽车零部件,底盘与发动机系统,,,
bj920000,安徽凤凰,2021-11-16,11.6,11.6,10.23,10.4,11.82,2440922.0,25822212.0,353122483.99999994,974366276.0,,,479137104.69000006,623642403.33,144505298.64,9880754.22,,,,,,,,,,,,,,,汽车,汽车零部件,底盘与发动机系统,,,
bj920000,安徽凤凰,2021-11-17,10.37,10.6,9.9,10.24,10.4,1550789.0,15762787.0,347689830.4,959376025.6,,,479137104.69000006,623642403.33,144505298.64,9880754.22,,,,,,,,,,,,,,,汽车,汽车零部件,底盘与发动机系统,,,
bj920000,安徽凤凰,2021-11-18,10.05,10.3,9.81,9.9,10.24,1760476.0,17493839.0,336145441.5,927521743.5,,,479137104.69000006,623642403.33,144505298.64,9880754.22,,,,,,,,,,,,,,,汽车,汽车零部件,底盘与发动机系统,,,
bj920000,安徽凤凰,2021-11-19,9.9,9.95,9.71,9.87,9.9,779219.0,7629269.0,335126818.95,924711071.55,,,479137104.69000006,623642403.33,144505298.64,9880754.22,,,,,,,,,,,,,,,汽车,汽车零部件,底盘与发动机系统,,,
bj920000,安徽凤凰,2021-11-22,9.88,10.0,9.75,9.84,9.87,1016793.0,10044903.0,334108196.40000004,921900399.6,,,479137104.69000006,623642403.33,144505298.64,9880754.22,,,,,,,,,,,,,,,汽车,汽车零部件,底盘与发动机系统,,,
bj920000,安徽凤凰,2021-11-23,9.88,10.14,9.7,10.01,9.84,1543753.0,15452104.0,339880390.85,937827540.65,,,479137104.69000006,623642403.33,144505298.64,9880754.22,,,,,,,,,,,,,,,汽车,汽车零部件,底盘与发动机系统,,,
bj920000,安徽凤凰,2021-11-24,10.07,10.07,9.71,9.73,10.01,975265.0,9579212.0,330373247.05,911594602.45,,,479137104.69000006,623642403.33,144505298.64,9880754.22,,,,,,,,,,,,,,,汽车,汽车零部件,底盘与发动机系统,,,
bj920000,安徽凤凰,2021-11-25,9.8,9.82,9.38,9.4,9.73,910037.0,8676505.0,319168399.0,880677211.0,,,479137104.69000006,623642403.33,144505298.64,9880754.22,,,,,,,,,,,,,,,汽车,汽车零部件,底盘与发动机系统,,,
bj920000,安徽凤凰,2021-11-26,9.23,9.4,9.14,9.15,9.4,711861.0,6581384.0,310679877.75,857254944.75,,,479137104.69000006,623642403.33,144505298.64,9880754.22,,,,,,,,,,,,,,,汽车,汽车零部件,底盘与发动机系统,,,
bj920000,安徽凤凰,2021-11-29,9.07,9.14,8.74,8.75,9.15,804008.0,7154942.0,297098243.75,819779318.75,,,479137104.69000006,623642403.33,144505298.64,9880754.22,,,,,,,,,,,,,,,汽车,汽车零部件,底盘与发动机系统,,,
