数据由邢不行整理，对数据字段有疑问的，可以直接微信私信邢不行，微信号：xbx297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,净利润TTM,现金流TTM,净资产,总资产,总负债,净利润(当季),中户资金买入额,中户资金卖出额,大户资金买入额,大户资金卖出额,散户资金买入额,散户资金卖出额,机构资金买入额,机构资金卖出额,沪深300成分股,上证50成分股,中证500成分股,中证1000成分股,中证2000成分股,创业板指成分股,新版申万一级行业名称,新版申万二级行业名称,新版申万三级行业名称,09:35收盘价,09:45收盘价,09:55收盘价
sz300394,N天孚,2015-02-17,25.69,30.83,25.69,30.83,21.41,11200.0,343497.0,469849200.0,2291902200.0,88675340.99,59985442.43,325532838.82000005,345113633.91,19580795.09,,0.0,0.0,29.6,0.0,4.75,34.35,0.0,0.0,,,,,,,电子,元件Ⅱ,被动元件,28.26,28.26,28.26
sz300394,天孚通信,2015-02-25,33.91,33.91,33.91,33.91,30.83,4300.0,145813.0,516788400.0,2520869400.0,88675340.99,59985442.43,325532838.82000005,345113633.91,19580795.09,,1.7,0.0,8.82,0.0,4.07,14.58,0.0,0.0,,,,,,,电子,元件Ⅱ,被动元件,33.91,33.91,33.91
sz300394,天孚通信,2015-02-26,37.3,37.3,37.3,37.3,33.91,2800.0,104440.0,568452000.0,2772882000.0,88675340.99,59985442.43,325532838.82000005,345113633.91,19580795.09,,0.0,0.0,0.0,0.0,2.98,10.44,7.46,0.0,,,,,,,电子,元件Ⅱ,被动元件,37.3,37.3,37.3
sz300394,天孚通信,2015-02-27,41.03,41.03,41.03,41.03,37.3,5600.0,229768.0,625297200.0,3050170200.0,88675340.99,59985442.43,325532838.82000005,345113633.91,19580795.09,,0.0,0.0,0.0,0.0,2.05,22.98,20.93,0.0,,,,,,,电子,元件Ⅱ,被动元件,41.03,41.03,41.03
sz300394,天孚通信,2015-03-02,45.13,45.13,45.13,45.13,41.03,21500.0,970295.0,687781200.0,3354964200.0,88675340.99,59985442.43,325532838.82000005,345113633.91,19580795.09,,0.0,0.0,0.0,0.0,9.93,97.03,87.1,0.0,,,,,,,电子,元件Ⅱ,被动元件,45.13,45.13,45.13
sz300394,天孚通信,2015-03-03,49.64,49.64,49.64,49.64,45.13,173549.0,8614972.4,756513600.0,3690237600.0,88675340.99,59985442.43,325532838.82000005,345113633.91,19580795.09,,0.0,0.0,0.0,0.0,138.74,861.5,722.75,0.0,,,,,,,电子,元件Ⅱ,被动元件,49.64,49.64,49.64
sz300394,天孚通信,2015-03-04,54.6,54.6,53.15,54.6,49.64,2628662.0,143459377.7,832104000.0,4058964000.0,88675340.99,59985442.43,325532838.82000005,345113633.91,19580795.09,,487.25,285.95,1086.1,567.14,7891.39,12029.16,4881.15,1463.64,,,,,,,电子,元件Ⅱ,被动元件,54.6,54.6,54.6
sz300394,天孚通信,2015-03-05,58.01,60.06,56.58,60.06,54.6,2247258.0,132430112.0,915314400.0,4464860400.0,88675340.99,59985442.43,325532838.82000005,345113633.91,19580795.09,,1607.03,927.9,1794.87,944.34,5408.32,10100.48,4432.78,1270.28,,,,,,,电子,元件Ⅱ,被动元件,60.06,60.06,60.06
sz300394,天孚通信,2015-03-06,66.07,66.07,61.15,62.23,60.06,9185096.0,590685459.6,948385200.0,4626178200.0,88675340.99,59985442.43,325532838.82000005,345113633.91,19580795.09,,13750.87,6783.38,14700.85,8612.54,20909.85,34350.23,9706.95,9322.38,,,,,,,电子,元件Ⅱ,被动元件,66.07,66.07,66.07
sz300394,天孚通信,2015-03-09,56.1,58.56,56.01,56.9,62.23,5544989.0,316589159.9,867156000.0,4229946000.0,88675340.99,59985442.43,325532838.82000005,345113633.91,19580795.09,,11730.15,9239.35,8613.68,9865.24,10341.19,10405.03,973.88,2149.29,,,,,,,电子,元件Ⅱ,被动元件,57.52,57.1,56.95
