数据由邢不行整理，对数据字段有疑问的，可以直接微信私信邢不行，微信号：xbx297,,,,,,,,,,,,,,,,,
股票代码,业绩预告首次披露日期,业绩预告日期,业绩预告类型,预告对应财报日期,预告营业收入上限,预告营业收入下限,预告净利润变动振幅上限（%）,预告净利润变动振幅下限（%）,预告净利润上限,预告净利润下限,预告扣非净利润变动幅度上限（%）,预告扣非净利润变动幅度下限（%）,预告扣非净利润上限,预告扣非净利润下限,预告扣除后营业收入上限,预告扣除后营业收入下限,去年同期每股收益
sz300777,2019-05-15,2019-07-15,略增,2019-06-30,,,28.1,18.26,56840000.0,52470000.0,,,,,,,0.12
sz300777,2019-10-14,2019-10-14,预增,2019-09-30,,,63.82,63.14,74342400.0,74037500.0,,,,,,,0.1261
sz300777,2020-01-22,2020-01-22,略增,2019-12-31,,,25.0,7.0,150627300.0,128936900.0,,,,,,,0.33
sz300777,2020-03-24,2020-03-24,略增,2020-03-31,,,25.0,10.0,30468300.0,26812100.0,,,,,,,0.07
sz300777,2020-07-14,2020-07-14,预增,2020-06-30,,,78.0,60.0,93700000.0,84225000.0,,,,,,,0.14
sz300777,2020-10-14,2020-10-14,预增,2020-09-30,,,78.0,72.0,132060000.0,128160000.0,,,,,,,0.1968
sz300777,2021-01-29,2021-01-29,预增,2020-12-31,,,75.0,55.0,239055700.0,211735100.0,,,,,,,0.36
sz300777,2023-01-19,2023-01-19,预增,2022-12-31,,,203.08,173.27,610000000.0,550000000.0,163.97,132.32,500331300.0,440331300.0,,,0.5
sz300777,2023-04-14,2023-04-14,预增,2023-03-31,,,65.45,43.39,150000000.0,130000000.0,61.03,38.03,140000000.0,120000000.0,,,0.2062
sz300777,2023-07-10,2023-07-10,略增,2023-06-30,,,19.16,8.33,220000000.0,200000000.0,13.66,2.0,194885800.0,174885800.0,,,0.42
sz300777,2024-01-30,2024-01-30,预减,2023-12-31,,,-51.3,-58.52,290000000.0,247000000.0,-47.09,-56.61,250000000.0,205000000.0,,,1.39
sz300777,2025-01-24,2025-01-24,略增,2024-12-31,,,27.95,9.62,370000000.0,317000000.0,37.77,16.48,343000000.0,290000000.0,,,0.66
sz300777,2025-03-25,2025-03-25,预增,2025-03-31,,,92.42,68.79,114000000.0,100000000.0,103.2,77.06,108800000.0,94800000.0,,,0.13
sz300777,2026-04-15,2026-04-15,预减,2026-03-31,,,-80.59,-86.76,22000000.0,15000000.0,-84.23,-88.87,17000000.0,12000000.0,,,0.26
